cycle_id,cycle_start,cycle_end,phase,event_type,gate_number,date,julian_date,venus_longitude,moon_longitude,sun_longitude,elongation_degrees,notes
VENUS_20250413_20261003,2025-04-13 01:01:55,2026-10-03 07:12:32,CYCLE,station_direct,,2025-04-13 01:01:55,2460778.543001,354.624892,,23.360187,28.735295,Cycle start: Venus stations direct
VENUS_20250413_20261003,2025-04-13 01:01:55,2026-10-03 07:12:32,ASCENT,gate,1,2025-04-25 02:57:14,2460790.623079,357.275461,357.275053,35.162217,37.886756,Moon-Venus conjunction (ascent gate 1)
VENUS_20250413_20261003,2025-04-13 01:01:55,2026-10-03 07:12:32,ASCENT,gate,2,2025-05-23 21:12:42,2460819.383821,17.382105,17.381859,62.977928,45.595823,Moon-Venus conjunction (ascent gate 2)
VENUS_20250413_20261003,2025-04-13 01:01:55,2026-10-03 07:12:32,ASCENT,gate,3,2025-06-22 05:01:41,2460848.709505,46.514042,46.513599,91.046981,44.532939,Moon-Venus conjunction (ascent gate 3)
VENUS_20250413_20261003,2025-04-13 01:01:55,2026-10-03 07:12:32,ASCENT,gate,4,2025-07-21 18:23:14,2460878.266146,79.206868,79.207476,119.239714,40.032846,Moon-Venus conjunction (ascent gate 4)
VENUS_20250413_20261003,2025-04-13 01:01:55,2026-10-03 07:12:32,ASCENT,gate,5,2025-08-20 12:27:07,2460908.018831,113.851535,113.851868,147.747267,33.895732,Moon-Venus conjunction (ascent gate 5)
VENUS_20250413_20261003,2025-04-13 01:01:55,2026-10-03 07:12:32,ASCENT,gate,6,2025-09-19 12:21:29,2460938.014925,149.984989,149.985286,176.823287,26.838298,Moon-Venus conjunction (ascent gate 6)
VENUS_20250413_20261003,2025-04-13 01:01:55,2026-10-03 07:12:32,ASCENT,gate,7,2025-10-19 18:26:03,2460968.268099,187.306801,187.307782,206.625171,19.318370,Moon-Venus conjunction (ascent gate 7)
VENUS_20250413_20261003,2025-04-13 01:01:55,2026-10-03 07:12:32,ASCENT,gate,8,2025-11-19 04:49:12,2460998.700838,225.370476,225.370373,237.106183,11.735706,Moon-Venus conjunction (ascent gate 8)
VENUS_20250413_20261003,2025-04-13 01:01:55,2026-10-03 07:12:32,UNDERWORLD,underworld_entry,,2025-11-26 06:21:40,2461005.765054,234.245644,,244.245644,10.000000,Elongation fell below 10.0°
VENUS_20250413_20261003,2025-04-13 01:01:55,2026-10-03 07:12:32,UNDERWORLD,underworld_exit,,2026-02-17 09:38:09,2461088.901498,338.728605,,328.728605,10.000000,Elongation exceeded 10.0°
VENUS_20250413_20261003,2025-04-13 01:01:55,2026-10-03 07:12:32,DESCENT,gate,8,2026-02-18 08:01:39,2461089.834482,339.895639,339.895253,329.670404,10.225235,Moon-Venus conjunction (descent gate 8)
VENUS_20250413_20261003,2025-04-13 01:01:55,2026-10-03 07:12:32,DESCENT,gate,7,2026-03-20 09:23:23,2461119.891244,17.307450,17.307887,359.777324,17.530126,Moon-Venus conjunction (descent gate 7)
VENUS_20250413_20261003,2025-04-13 01:01:55,2026-10-03 07:12:32,DESCENT,gate,6,2026-04-19 06:43:46,2461149.780404,54.045446,54.044658,29.229503,24.815943,Moon-Venus conjunction (descent gate 6)
VENUS_20250413_20261003,2025-04-13 01:01:55,2026-10-03 07:12:32,DESCENT,gate,5,2026-05-19 01:49:31,2461179.576059,90.036710,90.036011,58.122616,31.914094,Moon-Venus conjunction (descent gate 5)
VENUS_20250413_20261003,2025-04-13 01:01:55,2026-10-03 07:12:32,DESCENT,gate,4,2026-06-17 20:28:11,2461209.352914,125.116519,125.117368,86.660620,38.455898,Moon-Venus conjunction (descent gate 4)
VENUS_20250413_20261003,2025-04-13 01:01:55,2026-10-03 07:12:32,DESCENT,gate,3,2026-07-17 15:05:38,2461239.128915,158.724824,158.725057,115.063030,43.661794,Moon-Venus conjunction (descent gate 3)
VENUS_20250413_20261003,2025-04-13 01:01:55,2026-10-03 07:12:32,DESCENT,gate,2,2026-08-16 07:10:30,2461268.798959,189.327324,189.326556,143.458294,45.869031,Moon-Venus conjunction (descent gate 2)
VENUS_20250413_20261003,2025-04-13 01:01:55,2026-10-03 07:12:32,DESCENT,gate,1,2026-09-14 11:32:46,2461297.981088,212.553474,212.554252,171.680368,40.873106,Moon-Venus conjunction (descent gate 1)
VENUS_20250413_20261003,2025-04-13 01:01:55,2026-10-03 07:12:32,CYCLE,station_retrograde,,2026-10-03 07:12:32,2461316.800379,218.491136,,190.100975,28.390161,Cycle end: Venus stations retrograde
