sign,decan,ingress_date,ingress_longitude,egress_date,egress_longitude
Capricorn,2,1900-01-01T00:00:00+00:00,280.153,1900-01-10T15:48:20.390625+00:00,290.000
Capricorn,3,1900-01-10T15:48:20.390625+00:00,290.000,1900-01-20T11:32:34.687500+00:00,300.000
Aquarius,1,1900-01-20T11:32:34.687500+00:00,300.000,1900-01-30T07:37:01.875000+00:00,310.000
Aquarius,2,1900-01-30T07:37:01.875000+00:00,310.000,1900-02-09T04:19:48.281250+00:00,320.000
Aquarius,3,1900-02-09T04:19:48.281250+00:00,320.000,1900-02-19T02:01:17.343750+00:00,330.000
Pisces,1,1900-02-19T02:01:17.343750+00:00,330.000,1900-03-01T00:38:40.312500+00:00,340.000
Pisces,2,1900-03-01T00:38:40.312500+00:00,340.000,1900-03-11T00:26:11.484375+00:00,350.000
Pisces,3,1900-03-11T00:26:11.484375+00:00,350.000,1900-03-21T01:39:08.437500+00:00,0.000
Aries,1,1900-03-21T01:39:08.437500+00:00,0.000,1900-03-31T04:07:51.093750+00:00,10.000
Aries,2,1900-03-31T04:07:51.093750+00:00,10.000,1900-04-10T08:01:38.437500+00:00,20.000
Aries,3,1900-04-10T08:01:38.437500+00:00,20.000,1900-04-20T13:27:11.250000+00:00,30.000
Taurus,1,1900-04-20T13:27:11.250000+00:00,30.000,1900-04-30T20:06:44.296875+00:00,40.000
Taurus,2,1900-04-30T20:06:44.296875+00:00,40.000,1900-05-11T04:05:02.343750+00:00,50.000
Taurus,3,1900-05-11T04:05:02.343750+00:00,50.000,1900-05-21T13:16:59.531250+00:00,60.000
Gemini,1,1900-05-21T13:16:59.531250+00:00,60.000,1900-05-31T23:18:52.031250+00:00,70.000
Gemini,2,1900-05-31T23:18:52.031250+00:00,70.000,1900-06-11T10:12:04.218750+00:00,80.000
Gemini,3,1900-06-11T10:12:04.218750+00:00,80.000,1900-06-21T21:39:43.593750+00:00,90.000
Cancer,1,1900-06-21T21:39:43.593750+00:00,90.000,1900-07-02T09:17:13.593750+00:00,100.000
Cancer,2,1900-07-02T09:17:13.593750+00:00,100.000,1900-07-12T21:04:02.578125+00:00,110.000
Cancer,3,1900-07-12T21:04:02.578125+00:00,110.000,1900-07-23T08:36:05.625000+00:00,120.000
Leo,1,1900-07-23T08:36:05.625000+00:00,120.000,1900-08-02T19:33:52.031250+00:00,130.000
Leo,2,1900-08-02T19:33:52.031250+00:00,130.000,1900-08-13T05:56:50.156250+00:00,140.000
Leo,3,1900-08-13T05:56:50.156250+00:00,140.000,1900-08-23T15:20:02.343750+00:00,150.000
Virgo,1,1900-08-23T15:20:02.343750+00:00,150.000,1900-09-02T23:33:59.062500+00:00,160.000
Virgo,2,1900-09-02T23:33:59.062500+00:00,160.000,1900-09-13T06:40:57.421875+00:00,170.000
Virgo,3,1900-09-13T06:40:57.421875+00:00,170.000,1900-09-23T12:20:23.437500+00:00,180.000
Libra,1,1900-09-23T12:20:23.437500+00:00,180.000,1900-10-03T16:34:23.671875+00:00,190.000
Libra,2,1900-10-03T16:34:23.671875+00:00,190.000,1900-10-13T19:30:21.093750+00:00,200.000
Libra,3,1900-10-13T19:30:21.093750+00:00,200.000,1900-10-23T20:55:25.781250+00:00,210.000
Scorpio,1,1900-10-23T20:55:25.781250+00:00,210.000,1900-11-02T21:01:03.281250+00:00,220.000
Scorpio,2,1900-11-02T21:01:03.281250+00:00,220.000,1900-11-12T20:00:14.062500+00:00,230.000
Scorpio,3,1900-11-12T20:00:14.062500+00:00,230.000,1900-11-22T17:48:02.812500+00:00,240.000
Sagittarius,1,1900-11-22T17:48:02.812500+00:00,240.000,1900-12-02T14:42:04.218750+00:00,250.000
Sagittarius,2,1900-12-02T14:42:04.218750+00:00,250.000,1900-12-12T11:00:14.062500+00:00,260.000
Sagittarius,3,1900-12-12T11:00:14.062500+00:00,260.000,1900-12-22T06:41:39.609375+00:00,270.000
Capricorn,1,1900-12-22T06:41:39.609375+00:00,270.000,1901-01-01T02:08:19.218750+00:00,280.000
Capricorn,2,1901-01-01T02:08:19.218750+00:00,280.000,1901-01-10T21:39:43.593750+00:00,290.000
Capricorn,3,1901-01-10T21:39:43.593750+00:00,290.000,1901-01-20T17:16:24.375000+00:00,300.000
Aquarius,1,1901-01-20T17:16:24.375000+00:00,300.000,1901-01-30T13:20:30.468750+00:00,310.000
Aquarius,2,1901-01-30T13:20:30.468750+00:00,310.000,1901-02-09T10:10:39.843750+00:00,320.000
Aquarius,3,1901-02-09T10:10:39.843750+00:00,320.000,1901-02-19T07:44:56.484375+00:00,330.000
Pisces,1,1901-02-19T07:44:56.484375+00:00,330.000,1901-03-01T06:22:30+00:00,340.000
