primary,secondary,aspect,target_angle,exact_time,julian_date,primary_longitude,secondary_longitude,relative_angle,orb_degrees
MERCURY,JUPITER,TRINE,120.0,2025-02-03 21:52:01,2460710.4111328125,311.279342,71.278751,119.999409,-0.000591
MERCURY,JUPITER,SQUARE,90.0,2025-02-20 20:13:35,2460727.3427734375,341.729758,71.729673,89.999914,-8.6e-05
MERCURY,JUPITER,SEXTILE,60.0,2025-05-05 17:20:37,2460801.22265625,22.32753,82.328287,60.000757,0.000757
MERCURY,JUPITER,CONJUNCTION,0.0,2025-06-08 20:12:11,2460835.341796875,89.765923,89.765543,359.99962,-0.00038
MERCURY,JUPITER,OPPOSITION,180.0,2026-01-14 08:17:48,2461054.845703125,289.572078,109.57129,179.999212,-0.000788
MERCURY,JUPITER,TRINE,120.0,2026-02-16 21:30:56,2461088.396484375,345.88921,105.889376,120.000166,0.000166
MERCURY,JUPITER,TRINE,120.0,2026-03-09 05:23:26,2461108.724609375,345.093293,105.093301,120.000008,8e-06
MERCURY,JUPITER,TRINE,120.0,2026-04-03 11:29:03,2461133.978515625,345.951373,105.95098,119.999607,-0.000393
MERCURY,JUPITER,SQUARE,90.0,2026-04-26 18:33:45,2461157.2734375,18.344587,108.343987,89.999399,-0.000601
MERCURY,JUPITER,SEXTILE,60.0,2026-05-13 04:44:03,2461173.697265625,50.756295,110.755677,59.999382,-0.000618
MERCURY,JUPITER,CONJUNCTION,0.0,2026-08-15 11:23:26,2461267.974609375,130.151609,130.151007,359.999397,-0.000603
MERCURY,JUPITER,OPPOSITION,180.0,2027-01-27 16:37:01,2461433.1923828125,323.893525,143.893726,180.000201,0.000201
MERCURY,JUPITER,TRINE,120.0,2027-04-18 10:48:16,2461513.9501953125,17.040263,137.040143,119.99988,-0.00012
MERCURY,JUPITER,SQUARE,90.0,2027-05-03 04:27:11,2461528.685546875,47.610435,137.611186,90.000751,0.000751
MERCURY,JUPITER,SEXTILE,60.0,2027-05-19 17:54:22,2461545.24609375,78.977471,138.977524,60.000053,5.3e-05
MERCURY,JUPITER,CONJUNCTION,0.0,2027-08-19 22:46:52,2461637.44921875,155.229286,155.228941,359.999655,-0.000345
MERCURY,JUPITER,OPPOSITION,180.0,2028-03-26 09:33:45,2461856.8984375,350.837082,170.836519,179.999438,-0.000562
MERCURY,JUPITER,TRINE,120.0,2028-04-24 07:17:20,2461885.8037109375,48.117125,168.117279,120.000154,0.000154
MERCURY,JUPITER,SQUARE,90.0,2028-07-03 05:57:11,2461955.748046875,81.079773,171.07954,89.999767,-0.000233
MERCURY,JUPITER,SEXTILE,60.0,2028-07-21 03:00:00,2461973.625,113.716445,173.716369,59.999924,-7.6e-05
MERCURY,JUPITER,CONJUNCTION,0.0,2028-08-28 04:01:52,2462011.66796875,180.803337,180.803488,0.000151,0.000151
MERCURY,JUPITER,CONJUNCTION,0.0,2028-10-03 12:47:48,2462048.033203125,188.538789,188.53885,6.1e-05,6.1e-05
MERCURY,JUPITER,CONJUNCTION,0.0,2028-10-22 13:35:37,2462067.06640625,192.624841,192.625824,0.000982,0.000982
MERCURY,JUPITER,OPPOSITION,180.0,2029-04-04 03:26:43,2462230.6435546875,23.564131,203.563381,179.99925,-0.00075
MERCURY,JUPITER,TRINE,120.0,2029-06-25 05:05:09,2462312.7119140625,77.69817,197.698735,120.000565,0.000565
MERCURY,JUPITER,SQUARE,90.0,2029-07-10 03:15:28,2462327.6357421875,108.512587,198.512389,89.999802,-0.000198
MERCURY,JUPITER,SEXTILE,60.0,2029-07-26 00:37:58,2462343.5263671875,140.017372,200.017413,60.000041,4.1e-05
MERCURY,JUPITER,CONJUNCTION,0.0,2029-10-30 23:37:30,2462440.484375,217.844556,217.844664,0.000108,0.000108
MERCURY,JUPITER,OPPOSITION,180.0,2030-06-02 10:52:30,2462654.953125,50.333189,230.333813,180.000623,0.000623
MERCURY,JUPITER,TRINE,120.0,2030-07-01 09:18:16,2462683.8876953125,108.044952,228.044796,119.999844,-0.000156
MERCURY,JUPITER,SQUARE,90.0,2030-07-17 19:38:26,2462700.318359375,137.773346,227.773824,90.000478,0.000478
MERCURY,JUPITER,SEXTILE,60.0,2030-09-28 20:51:33,2462773.369140625,175.333514,235.333933,60.000419,0.000419
MERCURY,JUPITER,CONJUNCTION,0.0,2030-11-09 14:09:22,2462815.08984375,243.757923,243.757787,359.999864,-0.000136
