primary,secondary,aspect,target_angle,exact_time,julian_date,primary_longitude,secondary_longitude,relative_angle,orb_degrees
MERCURY,SATURN,SEXTILE,60.0,2025-01-19 07:38:26,2460694.818359375,286.116274,346.115865,59.99959,-0.00041
MERCURY,SATURN,CONJUNCTION,0.0,2025-02-25 12:02:48,2460732.001953125,350.263364,350.262723,359.999359,-0.000641
MERCURY,SATURN,OPPOSITION,180.0,2025-09-17 17:47:20,2460936.2412109375,178.781311,358.781023,179.999712,-0.000288
MERCURY,SATURN,TRINE,120.0,2025-10-25 21:16:52,2460974.38671875,236.100037,356.100111,120.000073,7.3e-05
MERCURY,SATURN,TRINE,120.0,2025-11-22 18:45:00,2461002.28125,235.183646,355.183399,119.999753,-0.000247
MERCURY,SATURN,TRINE,120.0,2025-12-07 16:58:07,2461017.20703125,235.239897,355.239598,119.999701,-0.000299
MERCURY,SATURN,SQUARE,90.0,2025-12-30 07:15:56,2461039.802734375,266.07114,356.070493,89.999353,-0.000647
MERCURY,SATURN,SEXTILE,60.0,2026-01-19 04:08:54,2461059.6728515625,297.466894,357.467289,60.000395,0.000395
MERCURY,SATURN,CONJUNCTION,0.0,2026-04-20 11:22:01,2461150.9736328125,7.926356,7.926496,0.00014,0.00014
MERCURY,SATURN,OPPOSITION,180.0,2026-09-18 10:00:28,2461301.9169921875,192.538266,12.538449,180.000182,0.000182
MERCURY,SATURN,TRINE,120.0,2026-12-11 13:25:46,2461386.0595703125,247.931765,7.931334,119.99957,-0.00043
MERCURY,SATURN,SQUARE,90.0,2026-12-30 23:54:22,2461405.49609375,278.294762,8.295025,90.000263,0.000263
MERCURY,SATURN,SEXTILE,60.0,2027-01-18 18:05:37,2461424.25390625,309.265644,9.265666,60.000021,2.1e-05
MERCURY,SATURN,CONJUNCTION,0.0,2027-04-19 13:03:16,2461515.0439453125,19.154998,19.154883,359.999885,-0.000115
MERCURY,SATURN,OPPOSITION,180.0,2027-09-23 10:13:07,2461671.92578125,206.264067,26.264991,180.000924,0.000924
MERCURY,SATURN,OPPOSITION,180.0,2027-10-21 04:32:48,2461699.689453125,204.159316,24.159903,180.000587,0.000587
MERCURY,SATURN,OPPOSITION,180.0,2027-11-04 08:54:22,2461713.87109375,203.066993,23.067419,180.000425,0.000425
MERCURY,SATURN,TRINE,120.0,2027-12-12 21:07:01,2461752.3798828125,261.136114,21.136465,120.00035,0.00035
MERCURY,SATURN,SQUARE,90.0,2027-12-31 15:59:03,2461771.166015625,291.073309,21.073705,90.000397,0.000397
MERCURY,SATURN,SEXTILE,60.0,2028-03-10 09:45:00,2461840.90625,325.912335,25.912081,59.999746,-0.000254
MERCURY,SATURN,CONJUNCTION,0.0,2028-04-15 15:23:54,2461877.1416015625,30.316505,30.316441,359.999936,-6.4e-05
MERCURY,SATURN,OPPOSITION,180.0,2028-11-07 00:46:24,2462082.5322265625,217.243328,37.24283,179.999503,-0.000497
MERCURY,SATURN,TRINE,120.0,2028-12-13 13:08:54,2462119.0478515625,274.898182,34.897738,119.999556,-0.000444
MERCURY,SATURN,SQUARE,90.0,2029-02-18 15:50:37,2462186.16015625,306.167238,36.167698,90.000459,0.000459
MERCURY,SATURN,SEXTILE,60.0,2029-03-11 13:24:22,2462207.05859375,338.032604,38.03289,60.000286,0.000286
MERCURY,SATURN,CONJUNCTION,0.0,2029-04-14 00:02:48,2462240.501953125,41.872017,41.872654,0.000638,0.000638
MERCURY,SATURN,OPPOSITION,180.0,2029-11-08 18:00:00,2462449.25,231.919947,51.919188,179.999241,-0.000759
MERCURY,SATURN,TRINE,120.0,2030-01-31 01:27:11,2462532.560546875,288.222645,48.223183,120.000537,0.000537
MERCURY,SATURN,SQUARE,90.0,2030-02-20 21:59:03,2462553.416015625,319.078258,49.07817,89.999912,-8.8e-05
MERCURY,SATURN,SEXTILE,60.0,2030-03-10 10:25:46,2462570.9345703125,350.339675,50.340238,60.000563,0.000563
MERCURY,SATURN,CONJUNCTION,0.0,2030-06-08 19:37:01,2462661.3173828125,60.979245,60.979399,0.000154,0.000154
MERCURY,SATURN,OPPOSITION,180.0,2030-11-11 15:36:33,2462817.150390625,246.728673,66.72863,179.999956,-4.4e-05
