primary,secondary,aspect,target_angle,exact_time,julian_date,primary_longitude,secondary_longitude,relative_angle,orb_degrees
MERCURY,VENUS,SEXTILE,60.0,2025-01-19 16:30:00,2460695.1875,286.683371,346.684093,60.000721,0.000721
MERCURY,VENUS,CONJUNCTION,0.0,2025-03-11 22:55:18,2460746.455078125,8.792023,8.791659,359.999636,-0.000364
MERCURY,VENUS,CONJUNCTION,0.0,2025-11-25 01:51:05,2461004.5771484375,232.753493,232.752716,359.999223,-0.000777
MERCURY,VENUS,CONJUNCTION,0.0,2026-01-29 10:18:45,2461069.9296875,314.952211,314.951667,359.999455,-0.000545
MERCURY,VENUS,CONJUNCTION,0.0,2026-02-28 05:34:41,2461099.732421875,352.2578,352.257453,359.999653,-0.000347
MERCURY,VENUS,SEXTILE,60.0,2026-07-24 16:13:07,2461246.17578125,106.341145,166.341531,60.000386,0.000386
MERCURY,VENUS,SEXTILE,60.0,2026-08-13 16:24:22,2461266.18359375,126.816594,186.815688,59.999094,-0.000906
MERCURY,VENUS,CONJUNCTION,0.0,2026-10-07 00:11:15,2461320.5078125,218.222458,218.221651,359.999193,-0.000807
MERCURY,VENUS,CONJUNCTION,0.0,2027-07-01 09:22:30,2461587.890625,87.925858,87.926256,0.000397,0.000397
MERCURY,VENUS,CONJUNCTION,0.0,2027-08-11 06:28:07,2461628.76953125,138.189889,138.190785,0.000895,0.000895
MERCURY,VENUS,CONJUNCTION,0.0,2027-10-11 09:32:20,2461689.8974609375,214.015144,214.015231,8.7e-05,8.7e-05
MERCURY,VENUS,SEXTILE,60.0,2028-02-11 08:51:33,2461812.869140625,304.61375,4.614345,60.000596,0.000596
MERCURY,VENUS,SEXTILE,60.0,2028-03-28 03:14:03,2461858.634765625,353.877949,53.877693,59.999743,-0.000257
MERCURY,VENUS,CONJUNCTION,0.0,2028-05-25 00:56:15,2461916.5390625,75.809241,75.80889,359.999649,-0.000351
MERCURY,VENUS,CONJUNCTION,0.0,2029-01-23 06:19:41,2462159.763671875,288.994047,288.994114,6.7e-05,6.7e-05
MERCURY,VENUS,CONJUNCTION,0.0,2029-03-27 14:54:22,2462223.12109375,8.180904,8.181112,0.000207,0.000207
MERCURY,VENUS,CONJUNCTION,0.0,2029-05-05 10:01:52,2462261.91796875,56.169374,56.169136,359.999762,-0.000238
MERCURY,VENUS,SEXTILE,60.0,2029-09-25 21:05:37,2462405.37890625,167.500051,227.499986,59.999935,-6.5e-05
MERCURY,VENUS,SEXTILE,60.0,2029-10-11 05:20:37,2462420.72265625,184.352203,244.352464,60.000262,0.000262
MERCURY,VENUS,CONJUNCTION,0.0,2030-01-23 04:56:43,2462524.7060546875,278.910268,278.91038,0.000112,0.000112
MERCURY,VENUS,CONJUNCTION,0.0,2030-09-05 21:09:50,2462750.3818359375,151.562193,151.562725,0.000532,0.000532
MERCURY,VENUS,CONJUNCTION,0.0,2030-10-07 13:18:45,2462782.0546875,190.958701,190.959453,0.000753,0.000753
MERCURY,VENUS,CONJUNCTION,0.0,2030-12-10 00:09:50,2462845.5068359375,270.486411,270.486094,359.999683,-0.000317
