primary,secondary,aspect,target_angle,exact_time,julian_date,primary_longitude,secondary_longitude,relative_angle,orb_degrees
MOON,MARS,OPPOSITION,180.0,2025-01-01 13:53:12,2460677.0786132812,301.726471,121.726476,180.000005,5e-06
MOON,MARS,TRINE,120.0,2025-01-05 19:25:15,2460681.3092041016,0.236804,120.23661,119.999805,-0.000195
MOON,MARS,SQUARE,90.0,2025-01-07 21:15:49,2460683.385986328,29.456389,119.457234,90.000846,0.000846
MOON,MARS,SEXTILE,60.0,2025-01-09 22:50:02,2460685.4514160156,58.659463,118.659338,59.999875,-0.000125
MOON,MARS,CONJUNCTION,0.0,2025-01-14 03:47:59,2460689.6583251953,116.991459,116.991236,359.999777,-0.000223
MOON,MARS,OPPOSITION,180.0,2025-01-28 04:52:30,2460703.703125,291.663425,111.662815,179.99939,-0.00061
MOON,MARS,TRINE,120.0,2025-02-01 09:01:45,2460707.876220703,350.353437,110.352556,119.999119,-0.000881
MOON,MARS,SQUARE,90.0,2025-02-03 10:19:27,2460709.9301757812,19.77839,109.778308,89.999918,-8.2e-05
MOON,MARS,SEXTILE,60.0,2025-02-05 12:16:20,2460712.011352539,49.248161,109.248472,60.000311,0.000311
MOON,MARS,CONJUNCTION,0.0,2025-02-09 19:47:34,2460716.3247070312,108.325022,108.326015,0.000993,0.000993
MOON,MARS,OPPOSITION,180.0,2025-02-24 06:32:10,2460730.772338867,287.015111,107.015415,180.000304,0.000304
MOON,MARS,TRINE,120.0,2025-02-28 12:57:18,2460735.039794922,347.13615,107.136328,120.000178,0.000178
MOON,MARS,SQUARE,90.0,2025-03-02 13:51:58,2460737.077758789,17.27063,107.270251,89.999621,-0.000379
MOON,MARS,SEXTILE,60.0,2025-03-04 15:24:57,2460739.1423339844,47.453932,107.454117,60.000185,0.000185
MOON,MARS,CONJUNCTION,0.0,2025-03-09 00:52:22,2460743.536376953,107.9978,107.998478,0.000678,0.000678
MOON,MARS,OPPOSITION,180.0,2025-03-23 23:22:33,2460758.4739990234,291.185663,111.185543,179.999881,-0.000119
MOON,MARS,TRINE,120.0,2025-03-28 08:27:18,2460762.852294922,352.449508,112.449946,120.000438,0.000438
MOON,MARS,SQUARE,90.0,2025-03-30 09:17:45,2460764.8873291016,23.081334,113.081474,90.000141,0.000141
MOON,MARS,SEXTILE,60.0,2025-04-01 10:14:31,2460766.9267578125,53.7398,113.740724,60.000924,0.000924
MOON,MARS,CONJUNCTION,0.0,2025-04-05 19:49:09,2460771.325805664,115.247087,115.2466,359.999513,-0.000487
MOON,MARS,OPPOSITION,180.0,2025-04-21 01:35:26,2460786.5662841797,301.205425,121.205835,180.00041,0.00041
MOON,MARS,TRINE,120.0,2025-04-25 12:28:49,2460791.0200195312,3.129829,123.129564,119.999734,-0.000266
MOON,MARS,SQUARE,90.0,2025-04-27 13:38:05,2460793.0681152344,34.038438,124.038296,89.999857,-0.000143
MOON,MARS,SEXTILE,60.0,2025-04-29 14:28:32,2460795.103149414,64.955402,124.955577,60.000176,0.000176
MOON,MARS,CONJUNCTION,0.0,2025-05-04 00:12:39,2460799.5087890625,126.98739,126.987222,359.999832,-0.000168
MOON,MARS,OPPOSITION,180.0,2025-05-19 08:22:54,2460814.849243164,314.476286,134.476681,180.000395,0.000395
MOON,MARS,TRINE,120.0,2025-05-23 20:13:14,2460819.342529297,16.775056,136.775907,120.000852,0.000852
MOON,MARS,SQUARE,90.0,2025-05-25 22:05:55,2460821.420776367,47.853556,137.854067,90.000511,0.000511
MOON,MARS,SEXTILE,60.0,2025-05-27 23:34:41,2460823.482421875,78.932983,138.932537,59.999554,-0.000446
MOON,MARS,CONJUNCTION,0.0,2025-06-01 10:40:53,2460827.9450683594,141.296407,141.295604,359.999197,-0.000803
MOON,MARS,OPPOSITION,180.0,2025-06-16 17:30:38,2460843.229614258,329.649253,149.648727,179.999474,-0.000526
MOON,MARS,TRINE,120.0,2025-06-21 05:29:03,2460847.728515625,32.176693,152.176554,119.999861,-0.000139
MOON,MARS,SQUARE,90.0,2025-06-23 08:25:53,2460849.8513183594,63.380022,153.379832,89.99981,-0.00019
MOON,MARS,SEXTILE,60.0,2025-06-25 11:16:56,2460851.9700927734,94.586889,154.587441,60.000551,0.000551
MOON,MARS,CONJUNCTION,0.0,2025-06-30 01:13:49,2460856.5512695312,157.220033,157.219904,359.99987,-0.00013
MOON,MARS,OPPOSITION,180.0,2025-07-15 04:15:35,2460871.6774902344,346.100834,166.101455,180.000621,0.000621
MOON,MARS,TRINE,120.0,2025-07-19 15:36:33,2460876.150390625,48.781176,168.780501,119.999325,-0.000675
MOON,MARS,SQUARE,90.0,2025-07-21 19:51:58,2460878.327758789,80.093418,170.09347,90.000052,5.2e-05
MOON,MARS,SEXTILE,60.0,2025-07-24 00:42:11,2460880.529296875,111.426485,171.426819,60.000334,0.000334
