primary,secondary,aspect,target_angle,exact_time,julian_date,primary_longitude,secondary_longitude,relative_angle,orb_degrees
MOON,MERCURY,OPPOSITION,180.0,2025-01-12 14:53:08,2460688.120239258,96.050953,276.051191,180.000238,0.000238
MOON,MERCURY,TRINE,120.0,2025-01-17 19:27:32,2460693.3107910156,163.813353,283.813572,120.000219,0.000219
MOON,MERCURY,SQUARE,90.0,2025-01-20 16:22:37,2460696.182373047,198.217191,288.218174,90.000983,0.000983
MOON,MERCURY,SEXTILE,60.0,2025-01-23 14:10:04,2460699.0903320312,232.758645,292.758731,60.000086,8.6e-05
MOON,MERCURY,CONJUNCTION,0.0,2025-01-28 21:45:21,2460704.4064941406,301.279819,301.279487,359.999667,-0.000333
MOON,MERCURY,OPPOSITION,180.0,2025-02-12 19:11:53,2460719.299926758,146.896229,326.896459,180.00023,0.00023
MOON,MERCURY,TRINE,120.0,2025-02-18 15:55:11,2460725.163330078,217.678724,337.678541,119.999817,-0.000183
MOON,MERCURY,SQUARE,90.0,2025-02-21 14:53:19,2460728.120361328,253.172357,343.172331,89.999973,-2.7e-05
MOON,MERCURY,SEXTILE,60.0,2025-02-24 08:41:43,2460730.8623046875,288.210948,348.209974,59.999026,-0.000974
MOON,MERCURY,CONJUNCTION,0.0,2025-03-01 04:18:55,2460735.6798095703,356.579054,356.578582,359.999528,-0.000472
MOON,MERCURY,OPPOSITION,180.0,2025-03-15 14:11:50,2460750.0915527344,189.582318,9.582135,179.999818,-0.000182
MOON,MERCURY,TRINE,120.0,2025-03-20 11:55:57,2460754.997192383,247.813706,7.813982,120.000276,0.000276
MOON,MERCURY,SQUARE,90.0,2025-03-22 19:12:56,2460757.3006591797,276.13257,6.1331,90.000531,0.000531
MOON,MERCURY,SEXTILE,60.0,2025-03-24 23:06:02,2460759.462524414,304.294616,4.295,60.000383,0.000383
MOON,MERCURY,CONJUNCTION,0.0,2025-03-28 22:02:13,2460763.4182128906,0.897227,0.897909,0.000682,0.000682
MOON,MERCURY,OPPOSITION,180.0,2025-04-10 19:48:59,2460776.3256835938,177.321684,357.32118,179.999496,-0.000504
MOON,MERCURY,TRINE,120.0,2025-04-16 02:23:36,2460781.5997314453,239.88705,359.886962,119.999912,-8.8e-05
MOON,MERCURY,SQUARE,90.0,2025-04-18 17:50:30,2460784.243408203,271.866775,1.866241,89.999466,-0.000534
MOON,MERCURY,SEXTILE,60.0,2025-04-21 07:00:07,2460786.791748047,304.143873,4.14362,59.999747,-0.000253
MOON,MERCURY,CONJUNCTION,0.0,2025-04-25 22:04:20,2460791.4196777344,9.079887,9.079357,359.999469,-0.000531
MOON,MERCURY,OPPOSITION,180.0,2025-05-10 21:15:28,2460806.3857421875,210.633042,30.633231,180.000189,0.000189
MOON,MERCURY,TRINE,120.0,2025-05-16 17:29:24,2460812.2287597656,281.096255,41.09588,119.999625,-0.000375
MOON,MERCURY,SQUARE,90.0,2025-05-19 12:00:00,2460815.0,316.451089,46.451052,89.999962,-3.8e-05
MOON,MERCURY,SEXTILE,60.0,2025-05-22 02:20:37,2460817.59765625,351.690409,51.690407,59.999998,-2e-06
MOON,MERCURY,CONJUNCTION,0.0,2025-05-26 20:05:09,2460822.3369140625,61.719198,61.718538,359.99934,-0.00066
MOON,MERCURY,OPPOSITION,180.0,2025-06-12 15:55:53,2460839.1638183594,277.274179,97.274891,180.000712,0.000712
MOON,MERCURY,TRINE,120.0,2025-06-18 00:08:47,2460844.5061035156,346.827815,106.828017,120.000201,0.000201
