primary,secondary,aspect,target_angle,exact_time,julian_date,primary_longitude,secondary_longitude,relative_angle,orb_degrees
MOON,SATURN,CONJUNCTION,0.0,2025-01-04 16:56:22,2460680.205810547,344.814095,344.81331,359.999215,-0.000785
MOON,SATURN,OPPOSITION,180.0,2025-01-17 23:43:18,2460693.4884033203,165.987187,345.987589,180.000402,0.000402
MOON,SATURN,TRINE,120.0,2025-01-23 01:38:47,2460698.5686035156,226.486671,346.487151,120.00048,0.00048
MOON,SATURN,SQUARE,90.0,2025-01-25 12:50:48,2460701.0352783203,256.73836,346.738762,90.000403,0.000403
MOON,SATURN,SEXTILE,60.0,2025-01-27 20:32:55,2460703.356201172,286.979679,346.980548,60.00087,0.00087
MOON,SATURN,CONJUNCTION,0.0,2025-02-01 04:09:26,2460707.6732177734,347.442005,347.442165,0.00016,0.00016
MOON,SATURN,OPPOSITION,180.0,2025-02-14 13:53:12,2460721.0786132812,168.958847,348.95866,179.999813,-0.000187
MOON,SATURN,TRINE,120.0,2025-02-19 15:58:32,2460726.165649414,229.559584,349.559869,120.000284,0.000284
MOON,SATURN,SQUARE,90.0,2025-02-22 03:50:26,2460728.6600341797,259.858343,349.858764,90.000422,0.000422
MOON,SATURN,SEXTILE,60.0,2025-02-24 12:10:11,2460731.007080078,290.142419,350.142095,59.999676,-0.000324
MOON,SATURN,CONJUNCTION,0.0,2025-02-28 18:42:00,2460735.2791748047,350.662248,350.661916,359.999669,-0.000331
MOON,SATURN,OPPOSITION,180.0,2025-03-14 03:40:04,2460748.6528320312,172.308975,352.308289,179.999314,-0.000686
MOON,SATURN,TRINE,120.0,2025-03-19 06:02:27,2460753.7517089844,232.935898,352.93678,120.000882,0.000882
MOON,SATURN,SQUARE,90.0,2025-03-21 18:23:12,2460756.2661132812,263.245337,353.245804,90.000467,0.000467
MOON,SATURN,SEXTILE,60.0,2025-03-24 03:41:18,2460758.6536865234,293.537895,353.538318,60.000424,0.000424
MOON,SATURN,CONJUNCTION,0.0,2025-03-28 11:03:34,2460762.9608154297,354.06298,354.062701,359.999721,-0.000279
MOON,SATURN,OPPOSITION,180.0,2025-04-10 16:25:36,2460776.184448242,175.631912,355.632013,180.000101,0.000101
MOON,SATURN,TRINE,120.0,2025-04-15 18:59:45,2460781.2915039062,236.214384,356.215259,120.000876,0.000876
MOON,SATURN,SQUARE,90.0,2025-04-18 07:20:41,2460783.8060302734,266.497179,356.496774,89.999595,-0.000405
MOON,SATURN,SEXTILE,60.0,2025-04-20 17:20:48,2460786.2227783203,296.763254,356.763445,60.000191,0.000191
MOON,SATURN,CONJUNCTION,0.0,2025-04-25 02:53:40,2460790.6206054688,357.23875,357.237909,359.99916,-0.00084
MOON,SATURN,OPPOSITION,180.0,2025-05-08 04:11:11,2460803.6744384766,178.551618,358.55149,179.999872,-0.000128
MOON,SATURN,TRINE,120.0,2025-05-13 06:36:54,2460808.7756347656,239.020439,359.020316,119.999878,-0.000122
MOON,SATURN,SQUARE,90.0,2025-05-15 18:28:28,2460811.2697753906,269.238798,359.239592,90.000795,0.000795
MOON,SATURN,SEXTILE,60.0,2025-05-18 04:26:50,2460813.6853027344,299.445701,359.445374,59.999673,-0.000327
MOON,SATURN,CONJUNCTION,0.0,2025-05-22 16:06:26,2460818.171142578,359.809336,359.809365,2.9e-05,2.9e-05
MOON,SATURN,OPPOSITION,180.0,2025-06-04 15:04:34,2460831.128173828,180.717734,0.717355,179.999621,-0.000379
MOON,SATURN,TRINE,120.0,2025-06-09 16:56:32,2460836.205932617,241.010388,1.010085,119.999697,-0.000303
MOON,SATURN,SQUARE,90.0,2025-06-12 04:06:58,2460838.671508789,271.139017,1.138791,89.999773,-0.000227
MOON,SATURN,SEXTILE,60.0,2025-06-14 13:20:51,2460841.0561523438,301.254133,1.254661,60.000528,0.000528
MOON,SATURN,CONJUNCTION,0.0,2025-06-19 01:38:05,2460845.5681152344,1.449941,1.449989,4.7e-05,4.7e-05
MOON,SATURN,OPPOSITION,180.0,2025-07-02 00:53:36,2460858.5372314453,181.83018,1.830348,180.000167,0.000167
MOON,SATURN,TRINE,120.0,2025-07-07 01:53:54,2460863.5791015625,241.902476,1.903113,120.000638,0.000638
MOON,SATURN,SQUARE,90.0,2025-07-09 12:36:02,2460866.025024414,271.922739,1.923165,90.000426,0.000426
MOON,SATURN,SEXTILE,60.0,2025-07-11 20:54:54,2460868.371459961,301.932983,1.932967,59.999984,-1.6e-05
MOON,SATURN,CONJUNCTION,0.0,2025-07-16 07:52:51,2460872.8283691406,1.926482,1.925958,359.999476,-0.000524
MOON,SATURN,OPPOSITION,180.0,2025-07-29 09:03:52,2460885.877685547,181.714733,1.714764,180.000032,3.2e-05
MOON,SATURN,TRINE,120.0,2025-08-03 09:08:05,2460890.8806152344,241.559698,1.560616,120.000918,0.000918
MOON,SATURN,SQUARE,90.0,2025-08-05 19:53:54,2460893.3291015625,271.472096,1.471304,89.999208,-0.000792
MOON,SATURN,SEXTILE,60.0,2025-08-08 03:48:52,2460895.658935547,301.378372,1.378091,59.999718,-0.000282
MOON,SATURN,CONJUNCTION,0.0,2025-08-12 12:33:45,2460900.0234375,1.181555,1.182466,0.000911,0.000911
MOON,SATURN,OPPOSITION,180.0,2025-08-25 15:00:21,2460913.1252441406,180.448464,0.447764,179.999299,-0.000701
MOON,SATURN,TRINE,120.0,2025-08-30 14:18:52,2460918.096435547,240.119093,0.119869,120.000776,0.000776
MOON,SATURN,SQUARE,90.0,2025-09-02 01:38:36,2460920.5684814453,269.948766,359.94894,90.000174,0.000174
MOON,SATURN,SEXTILE,60.0,2025-09-04 10:07:51,2460922.9221191406,299.781079,359.781948,60.000869,0.000869
MOON,SATURN,CONJUNCTION,0.0,2025-09-08 17:44:00,2460927.2388916016,359.466348,359.466265,359.999917,-8.3e-05
MOON,SATURN,OPPOSITION,180.0,2025-09-21 18:42:00,2460940.2791748047,178.467239,358.467653,180.000414,0.000414
MOON,SATURN,TRINE,120.0,2025-09-26 17:44:00,2460945.2388916016,238.083142,358.083486,120.000344,0.000344
MOON,SATURN,SQUARE,90.0,2025-09-29 05:44:00,2460947.7388916016,267.89192,357.891794,89.999875,-0.000125
MOON,SATURN,SEXTILE,60.0,2025-10-01 15:33:23,2460950.1481933594,297.709187,357.709088,59.999901,-9.9e-05
MOON,SATURN,CONJUNCTION,0.0,2025-10-06 00:29:42,2460954.520629883,357.384152,357.384279,0.000127,0.000127
MOON,SATURN,OPPOSITION,180.0,2025-10-18 21:10:32,2460967.3823242188,176.508108,356.507672,179.999565,-0.000435
MOON,SATURN,TRINE,120.0,2025-10-23 20:38:12,2460972.3598632812,236.210891,356.211888,120.000997,0.000997
MOON,SATURN,SQUARE,90.0,2025-10-26 09:00:42,2460974.8754882812,266.074745,356.073951,89.999206,-0.000794
MOON,SATURN,SEXTILE,60.0,2025-10-28 20:06:02,2460977.337524414,295.946996,355.94702,60.000024,2.4e-05
MOON,SATURN,CONJUNCTION,0.0,2025-11-02 08:30:49,2460981.854736328,355.736568,355.736017,359.999449,-0.000551
