primary,secondary,aspect,target_angle,exact_time,julian_date,primary_longitude,secondary_longitude,relative_angle,orb_degrees
MOON,VENUS,CONJUNCTION,0.0,2025-01-03 16:20:41,2460679.1810302734,330.572225,330.572363,0.000139,0.000139
MOON,VENUS,OPPOSITION,180.0,2025-01-17 21:46:03,2460693.406982422,164.991664,344.991383,179.999719,-0.000281
MOON,VENUS,TRINE,120.0,2025-01-23 08:50:41,2460698.8685302734,230.085692,350.085507,119.999815,-0.000185
MOON,VENUS,SQUARE,90.0,2025-01-25 23:34:20,2460701.4821777344,262.41313,352.412314,89.999184,-0.000816
MOON,VENUS,SEXTILE,60.0,2025-01-28 09:53:15,2460703.9119873047,294.502584,354.502237,59.999653,-0.000347
MOON,VENUS,CONJUNCTION,0.0,2025-02-01 22:06:05,2460708.4208984375,358.168509,358.168405,359.999896,-0.000104
MOON,VENUS,OPPOSITION,180.0,2025-02-16 02:19:13,2460722.5966796875,187.280141,7.280576,180.000435,0.000435
MOON,VENUS,TRINE,120.0,2025-02-21 07:28:03,2460727.8111572266,249.379762,9.380105,120.000344,0.000344
MOON,VENUS,SQUARE,90.0,2025-02-23 17:51:54,2460730.2443847656,280.064937,10.064736,89.999799,-0.000201
MOON,VENUS,SEXTILE,60.0,2025-02-25 23:54:22,2460732.49609375,310.513346,10.513151,59.999805,-0.000195
MOON,VENUS,CONJUNCTION,0.0,2025-03-02 03:25:29,2460736.6427001953,10.834961,10.835435,0.000474,0.000474
MOON,VENUS,OPPOSITION,180.0,2025-03-15 09:23:43,2460749.891479492,187.194371,7.194624,180.000253,0.000253
MOON,VENUS,TRINE,120.0,2025-03-20 05:09:33,2460754.7149658203,244.424023,4.423661,119.999638,-0.000362
MOON,VENUS,SQUARE,90.0,2025-03-22 13:10:18,2460757.048828125,272.965402,2.96552,90.000118,0.000118
MOON,VENUS,SEXTILE,60.0,2025-03-24 18:14:45,2460759.2602539062,301.578166,1.577774,59.999608,-0.000392
MOON,VENUS,CONJUNCTION,0.0,2025-03-28 19:16:38,2460763.3032226562,359.174346,359.174598,0.000252,0.000252
MOON,VENUS,OPPOSITION,180.0,2025-04-10 14:38:54,2460776.1103515625,174.744562,354.743871,179.99931,-0.00069
MOON,VENUS,TRINE,120.0,2025-04-15 16:03:48,2460781.1693115234,234.760456,354.760031,119.999575,-0.000425
