primary,secondary,aspect,target_angle,exact_time,julian_date,primary_longitude,secondary_longitude,relative_angle,orb_degrees
SUN,JUPITER,TRINE,120.0,2025-01-30 22:58:07,2460706.45703125,311.311674,71.312303,120.000628,0.000628
SUN,JUPITER,SQUARE,90.0,2025-03-02 18:19:41,2460737.263671875,342.418626,72.417927,89.999301,-0.000699
SUN,JUPITER,SEXTILE,60.0,2025-04-06 09:45:00,2460771.90625,16.84363,76.843306,59.999677,-0.000323
SUN,JUPITER,CONJUNCTION,0.0,2025-06-24 15:16:52,2460851.13671875,93.363765,93.363901,0.000137,0.000137
SUN,JUPITER,OPPOSITION,180.0,2026-01-10 08:43:07,2461050.86328125,290.108494,110.107728,179.999234,-0.000766
SUN,JUPITER,TRINE,120.0,2026-03-05 17:15:00,2461105.21875,345.136297,105.135492,119.999195,-0.000805
SUN,JUPITER,SQUARE,90.0,2026-04-05 22:21:33,2461136.431640625,16.135957,106.136607,90.000649,0.000649
SUN,JUPITER,SEXTILE,60.0,2026-05-11 02:15:00,2461171.59375,50.419674,110.418948,59.999275,-0.000725
SUN,JUPITER,CONJUNCTION,0.0,2026-07-29 12:16:52,2461251.01171875,126.41024,126.41075,0.000509,0.000509
SUN,JUPITER,OPPOSITION,180.0,2027-02-11 00:28:07,2461447.51953125,322.039446,142.039986,180.00054,0.00054
SUN,JUPITER,TRINE,120.0,2027-04-07 02:17:48,2461502.595703125,17.052052,137.052411,120.000359,0.000359
SUN,JUPITER,SQUARE,90.0,2027-05-08 19:38:26,2461534.318359375,47.995251,137.994762,89.999511,-0.000489
SUN,JUPITER,SEXTILE,60.0,2027-06-13 09:39:22,2461569.90234375,82.183225,142.182617,59.999392,-0.000608
SUN,JUPITER,CONJUNCTION,0.0,2027-08-31 07:30:00,2461648.8125,157.693697,157.693419,359.999722,-0.000278
SUN,JUPITER,OPPOSITION,180.0,2028-03-12 15:36:33,2461843.150390625,352.587658,172.587885,180.000227,0.000227
SUN,JUPITER,TRINE,120.0,2028-05-07 15:36:33,2461899.150390625,47.597382,167.598224,120.000842,0.000842
SUN,JUPITER,SQUARE,90.0,2028-06-08 20:00:56,2461931.333984375,78.536916,168.536339,89.999423,-0.000577
SUN,JUPITER,SEXTILE,60.0,2028-07-14 15:11:15,2461967.1328125,112.693435,172.694254,60.000819,0.000819
SUN,JUPITER,CONJUNCTION,0.0,2028-09-30 12:50:37,2462045.03515625,187.890059,187.890279,0.000221,0.000221
SUN,JUPITER,OPPOSITION,180.0,2029-04-12 04:04:41,2462238.669921875,22.5412,202.541396,180.000196,0.000196
SUN,JUPITER,TRINE,120.0,2029-06-08 01:18:45,2462295.5546875,77.558109,197.558294,120.000186,0.000186
SUN,JUPITER,SQUARE,90.0,2029-07-10 12:28:07,2462328.01953125,108.540733,198.541318,90.000585,0.000585
SUN,JUPITER,SEXTILE,60.0,2029-08-15 06:39:22,2462363.77734375,142.736608,202.737461,60.000853,0.000853
SUN,JUPITER,CONJUNCTION,0.0,2029-10-30 23:57:11,2462440.498046875,217.847699,217.847656,359.999957,-4.3e-05
SUN,JUPITER,OPPOSITION,180.0,2030-05-13 11:31:52,2462634.98046875,52.767873,232.768865,180.000992,0.000992
SUN,JUPITER,TRINE,120.0,2030-07-09 23:26:15,2462692.4765625,107.801135,227.801417,120.000282,0.000282
SUN,JUPITER,SQUARE,90.0,2030-08-11 11:40:18,2462724.986328125,138.869483,228.870045,90.000562,0.000562
SUN,JUPITER,SEXTILE,60.0,2030-09-15 23:23:26,2462760.474609375,173.162285,233.162792,60.000507,0.000507
SUN,JUPITER,CONJUNCTION,0.0,2030-11-30 14:43:07,2462836.11328125,248.433015,248.43294,359.999924,-7.6e-05
