primary,secondary,aspect,target_angle,exact_time,julian_date,primary_longitude,secondary_longitude,relative_angle,orb_degrees
SUN,MERCURY,CONJUNCTION,0.0,2025-02-09 12:08:26,2460716.005859375,320.993435,320.993598,0.000164,0.000164
SUN,MERCURY,CONJUNCTION,0.0,2025-03-24 19:48:16,2460759.3251953125,4.415526,4.415581,5.5e-05,5.5e-05
SUN,MERCURY,CONJUNCTION,0.0,2025-05-30 04:13:07,2460825.67578125,69.021598,69.021912,0.000314,0.000314
SUN,MERCURY,CONJUNCTION,0.0,2025-07-31 23:41:43,2460888.4873046875,129.010283,129.009761,359.999478,-0.000522
SUN,MERCURY,CONJUNCTION,0.0,2025-09-13 10:52:30,2460931.953125,170.911452,170.911901,0.000449,0.000449
SUN,MERCURY,CONJUNCTION,0.0,2025-11-20 09:23:12,2460999.8911132812,238.307784,238.307833,4.8e-05,4.8e-05
SUN,MERCURY,CONJUNCTION,0.0,2026-01-21 15:50:37,2461062.16015625,301.615852,301.616636,0.000784,0.000784
SUN,MERCURY,CONJUNCTION,0.0,2026-03-07 11:02:20,2461106.9599609375,346.879031,346.878142,359.999111,-0.000889
SUN,MERCURY,CONJUNCTION,0.0,2026-05-14 14:23:26,2461175.099609375,53.805693,53.804901,359.999208,-0.000792
SUN,MERCURY,CONJUNCTION,0.0,2026-07-13 01:25:46,2461234.5595703125,110.702291,110.702274,359.999983,-1.7e-05
SUN,MERCURY,CONJUNCTION,0.0,2026-08-27 17:03:45,2461280.2109375,154.449645,154.449622,359.999977,-2.3e-05
SUN,MERCURY,CONJUNCTION,0.0,2026-11-04 14:24:50,2461349.1005859375,222.181285,222.180427,359.999142,-0.000858
SUN,MERCURY,CONJUNCTION,0.0,2027-01-01 17:09:22,2461407.21484375,281.048969,281.049736,0.000767,0.000767
SUN,MERCURY,CONJUNCTION,0.0,2027-02-18 16:38:26,2461455.193359375,329.793342,329.794242,0.0009,0.0009
SUN,MERCURY,CONJUNCTION,0.0,2027-04-28 21:22:30,2461524.390625,38.36492,38.365405,0.000486,0.000486
SUN,MERCURY,CONJUNCTION,0.0,2027-06-23 07:59:31,2461579.8330078125,91.661834,91.661885,5.1e-05,5.1e-05
SUN,MERCURY,CONJUNCTION,0.0,2027-08-11 11:00:56,2461628.958984375,138.578192,138.577231,359.99904,-0.00096
SUN,MERCURY,CONJUNCTION,0.0,2027-10-19 15:30:56,2461698.146484375,206.021379,206.020931,359.999551,-0.000449
SUN,MERCURY,CONJUNCTION,0.0,2027-12-11 22:18:45,2461751.4296875,259.641403,259.64218,0.000778,0.000778
SUN,MERCURY,CONJUNCTION,0.0,2028-02-02 08:47:20,2461803.8662109375,313.024377,313.024278,359.999902,-9.8e-05
SUN,MERCURY,CONJUNCTION,0.0,2028-04-11 22:55:18,2461873.455078125,22.568979,22.568471,359.999493,-0.000507
SUN,MERCURY,CONJUNCTION,0.0,2028-06-02 02:45:56,2461924.615234375,72.107794,72.108067,0.000273,0.000273
SUN,MERCURY,CONJUNCTION,0.0,2028-07-25 13:07:30,2461978.046875,123.113949,123.113943,359.999993,-7e-06
SUN,MERCURY,CONJUNCTION,0.0,2028-10-02 10:37:01,2462046.9423828125,189.765151,189.765815,0.000664,0.000664
SUN,MERCURY,CONJUNCTION,0.0,2028-11-20 01:41:15,2462095.5703125,238.265261,238.265712,0.000451,0.000451
SUN,MERCURY,CONJUNCTION,0.0,2029-01-16 08:16:24,2462152.8447265625,296.48912,296.489283,0.000163,0.000163
SUN,MERCURY,CONJUNCTION,0.0,2029-03-26 16:32:48,2462222.189453125,6.302911,6.302103,359.999192,-0.000808
SUN,MERCURY,CONJUNCTION,0.0,2029-05-12 23:27:39,2462269.4775390625,52.509719,52.509371,359.999651,-0.000349
SUN,MERCURY,CONJUNCTION,0.0,2029-07-09 20:31:52,2462327.35546875,107.90728,107.907472,0.000192,0.000192
SUN,MERCURY,CONJUNCTION,0.0,2029-09-15 21:11:15,2462395.3828125,173.309602,173.309108,359.999506,-0.000494
SUN,MERCURY,CONJUNCTION,0.0,2029-10-30 23:15:00,2462440.46875,217.818407,217.818953,0.000546,0.000546
SUN,MERCURY,CONJUNCTION,0.0,2029-12-31 12:28:07,2462502.01953125,280.11249,280.11243,359.999939,-6.1e-05
SUN,MERCURY,CONJUNCTION,0.0,2030-03-09 22:55:18,2462570.455078125,349.415083,349.415654,0.00057,0.00057
SUN,MERCURY,CONJUNCTION,0.0,2030-04-23 11:15:00,2462614.96875,33.354488,33.353791,359.999303,-0.000697
SUN,MERCURY,CONJUNCTION,0.0,2030-06-24 07:04:41,2462676.794921875,92.84462,92.844722,0.000102,0.000102
SUN,MERCURY,CONJUNCTION,0.0,2030-08-29 20:10:46,2462743.3408203125,156.538104,156.537848,359.999744,-0.000256
SUN,MERCURY,CONJUNCTION,0.0,2030-10-11 23:48:45,2462786.4921875,198.705917,198.706514,0.000598,0.000598
SUN,MERCURY,CONJUNCTION,0.0,2030-12-15 19:14:31,2462851.3017578125,263.853164,263.852503,359.999339,-0.000661
