primary,secondary,aspect,target_angle,exact_time,julian_date,primary_longitude,secondary_longitude,relative_angle,orb_degrees
SUN,MOON,SEXTILE,60.0,2025-01-04 16:31:34,2460680.188598633,284.574386,344.574182,59.999796,-0.000204
SUN,MOON,SQUARE,90.0,2025-01-06 23:56:18,2460682.4974365234,286.927806,16.927951,90.000145,0.000145
SUN,MOON,TRINE,120.0,2025-01-09 06:53:05,2460684.7868652344,289.260828,49.261453,120.000626,0.000626
SUN,MOON,OPPOSITION,180.0,2025-01-13 22:26:50,2460689.4353027344,293.995791,113.995175,179.999384,-0.000616
SUN,MOON,CONJUNCTION,0.0,2025-01-29 12:36:02,2460705.025024414,309.85687,309.85737,0.0005,0.0005
SUN,MOON,SEXTILE,60.0,2025-02-03 01:23:19,2460709.557861328,314.459519,14.460021,60.000502,0.000502
SUN,MOON,SQUARE,90.0,2025-02-05 08:02:10,2460711.834838867,316.768746,46.768869,90.000123,0.000123
SUN,MOON,TRINE,120.0,2025-02-07 15:56:46,2460714.164428711,319.129198,79.129389,120.000192,0.000192
SUN,MOON,OPPOSITION,180.0,2025-02-12 13:53:22,2460719.0787353516,324.101219,144.10104,179.999821,-0.000179
SUN,MOON,CONJUNCTION,0.0,2025-02-28 00:44:49,2460734.5311279297,339.675064,339.67504,359.999977,-2.3e-05
SUN,MOON,SEXTILE,60.0,2025-03-04 09:47:06,2460738.9077148438,344.067357,44.067329,59.999972,-2.8e-05
SUN,MOON,SQUARE,90.0,2025-03-06 16:31:34,2460741.188598633,346.352194,76.351791,89.999597,-0.000403
SUN,MOON,TRINE,120.0,2025-03-09 02:15:42,2460743.5942382812,348.758644,108.758119,119.999475,-0.000525
SUN,MOON,OPPOSITION,180.0,2025-03-14 06:54:40,2460748.787963867,353.942318,173.942441,180.000123,0.000123
SUN,MOON,CONJUNCTION,0.0,2025-03-29 10:57:46,2460763.9567871094,9.001476,9.000906,359.99943,-0.00057
SUN,MOON,SEXTILE,60.0,2025-04-02 18:20:12,2460768.264038086,13.255491,73.255387,59.999896,-0.000104
SUN,MOON,SQUARE,90.0,2025-04-05 02:14:38,2460770.5935058594,15.551376,105.551066,89.99969,-0.00031
SUN,MOON,TRINE,120.0,2025-04-07 14:30:38,2460773.104614258,18.022306,138.022418,120.000113,0.000113
SUN,MOON,OPPOSITION,180.0,2025-04-13 00:22:08,2460778.5153808594,23.33312,203.332284,179.999163,-0.000837
SUN,MOON,CONJUNCTION,0.0,2025-04-27 19:31:03,2460793.313232422,37.781207,37.780219,359.999011,-0.000989
SUN,MOON,SEXTILE,60.0,2025-05-02 03:45:10,2460797.6563720703,42.001878,102.001717,59.99984,-0.00016
SUN,MOON,SQUARE,90.0,2025-05-04 13:51:47,2460800.0776367188,44.350327,134.350646,90.000318,0.000318
SUN,MOON,TRINE,120.0,2025-05-07 04:50:23,2460802.7016601562,46.89171,166.892633,120.000923,0.000923
SUN,MOON,OPPOSITION,180.0,2025-05-12 16:56:00,2460808.2055664062,52.210948,232.211548,180.0006,0.0006
SUN,MOON,CONJUNCTION,0.0,2025-05-27 03:02:17,2460822.626586914,66.094285,66.09365,359.999365,-0.000635
