primary,secondary,aspect,target_angle,exact_time,julian_date,primary_longitude,secondary_longitude,relative_angle,orb_degrees
SUN,SATURN,SEXTILE,60.0,2025-01-04 22:35:37,2460680.44140625,284.832104,344.832298,60.000194,0.000194
SUN,SATURN,CONJUNCTION,0.0,2025-03-12 10:30:00,2460746.9375,352.097234,352.096606,359.999372,-0.000628
SUN,SATURN,OPPOSITION,180.0,2025-09-21 05:45:56,2460939.740234375,178.509744,358.509531,179.999786,-0.000214
SUN,SATURN,TRINE,120.0,2025-11-17 08:57:11,2460996.873046875,235.262252,355.261334,119.999081,-0.000919
SUN,SATURN,SQUARE,90.0,2025-12-17 04:32:48,2461026.689453125,265.48089,355.481392,90.000502,0.000502
SUN,SATURN,SEXTILE,60.0,2026-01-17 10:41:15,2461057.9453125,297.324041,357.324163,60.000122,0.000122
SUN,SATURN,CONJUNCTION,0.0,2026-03-25 08:54:22,2461124.87109375,4.720498,4.720994,0.000497,0.000497
SUN,SATURN,OPPOSITION,180.0,2026-10-04 12:28:07,2461318.01953125,191.301293,11.302084,180.000791,0.000791
SUN,SATURN,TRINE,120.0,2026-11-30 06:05:37,2461374.75390625,248.035889,8.03591,120.000021,2.1e-05
SUN,SATURN,SQUARE,90.0,2026-12-29 23:29:03,2461404.478515625,278.26016,8.259284,89.999124,-0.000876
SUN,SATURN,SEXTILE,60.0,2027-01-30 06:36:33,2461435.775390625,310.128374,10.127796,59.999422,-0.000578
SUN,SATURN,CONJUNCTION,0.0,2027-04-07 17:17:48,2461503.220703125,17.667139,17.667423,0.000284,0.000284
SUN,SATURN,OPPOSITION,180.0,2027-10-18 00:36:33,2461696.525390625,204.412369,24.411628,179.999259,-0.000741
SUN,SATURN,TRINE,120.0,2027-12-13 09:22:30,2461752.890625,261.126061,21.126264,120.000204,0.000204
SUN,SATURN,SQUARE,90.0,2028-01-12 01:32:48,2461782.564453125,291.352489,21.352647,90.000159,0.000159
SUN,SATURN,SEXTILE,60.0,2028-02-12 11:00:56,2461813.958984375,323.248767,23.249095,60.000327,0.000327
SUN,SATURN,CONJUNCTION,0.0,2028-04-20 12:11:15,2461882.0078125,30.937078,30.936466,359.999388,-0.000612
SUN,SATURN,OPPOSITION,180.0,2028-10-30 17:34:41,2462075.232421875,217.829171,37.828348,179.999177,-0.000823
SUN,SATURN,TRINE,120.0,2028-12-25 18:53:26,2462131.287109375,274.522749,34.523025,120.000275,0.000275
SUN,SATURN,SQUARE,90.0,2029-01-24 11:06:33,2462160.962890625,304.751919,34.751671,89.999753,-0.000247
SUN,SATURN,SEXTILE,60.0,2029-02-25 00:14:03,2462192.509765625,336.677473,36.676993,59.999521,-0.000479
SUN,SATURN,CONJUNCTION,0.0,2029-05-04 16:58:07,2462261.20703125,44.509056,44.508411,359.999355,-0.000645
SUN,SATURN,OPPOSITION,180.0,2029-11-13 15:00:00,2462454.125,231.522389,51.522713,180.000325,0.000325
SUN,SATURN,TRINE,120.0,2030-01-08 10:46:52,2462509.94921875,288.19748,48.198225,120.000745,0.000745
SUN,SATURN,SQUARE,90.0,2030-02-07 04:18:45,2462539.6796875,318.429591,48.428705,89.999114,-0.000886
SUN,SATURN,SEXTILE,60.0,2030-03-10 22:07:30,2462571.421875,350.38127,50.381562,60.000292,0.000292
SUN,SATURN,CONJUNCTION,0.0,2030-05-19 06:22:30,2462640.765625,58.343527,58.343393,359.999866,-0.000134
SUN,SATURN,OPPOSITION,180.0,2030-11-27 15:56:15,2462833.1640625,245.445478,65.444904,179.999426,-0.000574
