primary,secondary,aspect,target_angle,exact_time,julian_date,primary_longitude,secondary_longitude,relative_angle,orb_degrees
VENUS,JUPITER,SQUARE,90.0,2025-01-14 19:46:52,2460690.32421875,341.994249,71.99494,90.000691,0.000691
VENUS,JUPITER,SEXTILE,60.0,2025-06-05 02:31:52,2460831.60546875,28.92151,88.921489,59.999979,-2.1e-05
VENUS,JUPITER,CONJUNCTION,0.0,2025-08-12 05:29:03,2460899.728515625,104.061468,104.062239,0.000771,0.000771
VENUS,JUPITER,OPPOSITION,180.0,2026-01-09 17:34:41,2461050.232421875,290.192679,110.192889,180.000209,0.000209
VENUS,JUPITER,TRINE,120.0,2026-02-22 20:00:56,2461094.333984375,345.519784,105.520587,120.000803,0.000803
VENUS,JUPITER,SQUARE,90.0,2026-03-18 16:08:54,2461118.1728515625,15.179203,105.179189,89.999986,-1.4e-05
VENUS,JUPITER,SEXTILE,60.0,2026-04-13 08:20:37,2461143.84765625,46.797083,106.797309,60.000227,0.000227
VENUS,JUPITER,CONJUNCTION,0.0,2026-06-09 19:58:07,2461201.33203125,115.777119,115.77785,0.000731,0.000731
VENUS,JUPITER,OPPOSITION,180.0,2027-03-16 12:05:37,2461481.00390625,318.176247,138.175348,179.999101,-0.000899
VENUS,JUPITER,TRINE,120.0,2027-05-04 18:16:52,2461530.26171875,17.710355,137.709599,119.999244,-0.000756
VENUS,JUPITER,SQUARE,90.0,2027-05-31 14:45:56,2461557.115234375,50.364188,140.364762,90.000575,0.000575
VENUS,JUPITER,SEXTILE,60.0,2027-06-28 18:45:00,2461585.28125,84.733148,144.732446,59.999298,-0.000702
VENUS,JUPITER,CONJUNCTION,0.0,2027-08-26 03:00:00,2461643.625,156.566568,156.566347,359.999779,-0.000221
VENUS,JUPITER,OPPOSITION,180.0,2028-02-04 13:48:16,2461806.0751953125,356.658942,176.659106,180.000164,0.000164
VENUS,JUPITER,TRINE,120.0,2028-03-25 02:51:33,2461855.619140625,50.993686,170.99329,119.999604,-0.000396
VENUS,JUPITER,SQUARE,90.0,2028-04-30 20:09:22,2461892.33984375,77.79618,167.796496,90.000315,0.000315
VENUS,JUPITER,SQUARE,90.0,2028-05-21 03:16:52,2461912.63671875,77.620108,167.620627,90.000519,0.000519
VENUS,JUPITER,SQUARE,90.0,2028-08-03 05:31:52,2461986.73046875,85.972157,175.971198,89.999041,-0.000959
VENUS,JUPITER,SEXTILE,60.0,2028-09-08 22:21:33,2462023.431640625,123.251688,183.252122,60.000434,0.000434
VENUS,JUPITER,CONJUNCTION,0.0,2028-11-10 00:59:03,2462085.541015625,196.434895,196.435078,0.000182,0.000182
VENUS,JUPITER,OPPOSITION,180.0,2029-04-08 13:32:48,2462235.064453125,23.00392,203.003634,179.999714,-0.000286
VENUS,JUPITER,TRINE,120.0,2029-05-23 08:34:41,2462279.857421875,78.196732,198.197574,120.000842,0.000842
VENUS,JUPITER,SQUARE,90.0,2029-06-16 08:57:11,2462303.873046875,107.516088,197.516277,90.000189,0.000189
VENUS,JUPITER,SEXTILE,60.0,2029-07-12 02:06:33,2462329.587890625,138.662733,198.663528,60.000795,0.000795
VENUS,JUPITER,CONJUNCTION,0.0,2029-09-07 14:54:22,2462387.12109375,206.739354,206.73875,359.999396,-0.000604
VENUS,JUPITER,OPPOSITION,180.0,2030-06-13 10:49:41,2462665.951171875,49.228351,229.228251,179.9999,-0.0001
VENUS,JUPITER,TRINE,120.0,2030-08-01 13:32:48,2462715.064453125,108.218478,228.218943,120.000465,0.000465
VENUS,JUPITER,SQUARE,90.0,2030-08-27 22:21:33,2462741.431640625,140.509444,230.509833,90.000389,0.000389
VENUS,JUPITER,SEXTILE,60.0,2030-09-24 09:36:33,2462768.900390625,174.550506,234.55138,60.000873,0.000873
VENUS,JUPITER,CONJUNCTION,0.0,2030-11-20 15:42:11,2462826.154296875,246.20409,246.20335,359.99926,-0.00074
