primary,secondary,aspect,target_angle,exact_time,julian_date,primary_longitude,secondary_longitude,relative_angle,orb_degrees
VENUS,MARS,TRINE,120.0,2025-01-25 23:54:22,2460701.49609375,352.424491,112.423985,119.999494,-0.000506
VENUS,MARS,TRINE,120.0,2025-04-06 12:11:15,2460772.0078125,355.490625,115.489687,119.999062,-0.000938
VENUS,MARS,TRINE,120.0,2025-05-22 07:41:15,2460817.8203125,15.99198,135.992069,120.000089,8.9e-05
VENUS,MARS,SQUARE,90.0,2025-07-23 08:20:37,2460879.84765625,81.012392,171.013374,90.000982,0.000982
VENUS,MARS,SEXTILE,60.0,2025-09-16 03:05:37,2460934.62890625,145.855453,205.854801,59.999348,-0.000652
VENUS,MARS,CONJUNCTION,0.0,2026-01-08 02:43:07,2461048.61328125,288.155928,288.155959,3.1e-05,3.1e-05
VENUS,MARS,OPPOSITION,180.0,2027-03-19 16:14:31,2461484.1767578125,321.982443,141.98235,179.999908,-9.2e-05
VENUS,MARS,TRINE,120.0,2027-05-14 23:45:56,2461540.490234375,30.13878,150.138866,120.000087,8.7e-05
VENUS,MARS,SQUARE,90.0,2027-06-23 06:28:07,2461579.76953125,77.994904,167.995241,90.000337,0.000337
VENUS,MARS,SEXTILE,60.0,2027-08-07 21:47:48,2461625.408203125,134.039946,194.039991,60.000045,4.5e-05
VENUS,MARS,CONJUNCTION,0.0,2027-11-25 01:35:37,2461734.56640625,269.463231,269.46321,359.999979,-2.1e-05
VENUS,MARS,CONJUNCTION,0.0,2028-06-14 06:59:03,2461936.791015625,64.654657,64.655193,0.000536,0.000536
VENUS,MARS,CONJUNCTION,0.0,2028-09-07 19:52:30,2462022.328125,122.036016,122.035492,359.999476,-0.000524
VENUS,MARS,OPPOSITION,180.0,2029-03-25 02:17:48,2462220.595703125,5.041456,185.041929,180.000472,0.000472
VENUS,MARS,TRINE,120.0,2029-05-04 10:04:41,2462260.919921875,54.940774,174.940857,120.000082,8.2e-05
VENUS,MARS,SQUARE,90.0,2029-06-01 00:19:41,2462288.513671875,88.78576,178.785971,90.000211,0.000211
VENUS,MARS,SEXTILE,60.0,2029-07-07 11:15:00,2462324.96875,133.089317,193.089537,60.000219,0.000219
VENUS,MARS,CONJUNCTION,0.0,2029-11-14 12:00:00,2462455.0,277.888646,277.88876,0.000113,0.000113
VENUS,MARS,CONJUNCTION,0.0,2029-11-24 01:07:30,2462464.546875,285.166396,285.166622,0.000226,0.000226
VENUS,MARS,SEXTILE,60.0,2030-02-01 02:03:45,2462533.5859375,279.159326,339.159619,60.000293,0.000293
VENUS,MARS,SEXTILE,60.0,2030-03-29 16:30:00,2462590.1875,322.846157,22.845798,59.999641,-0.000359
VENUS,MARS,CONJUNCTION,0.0,2030-08-05 19:01:52,2462719.29296875,113.368593,113.368794,0.0002,0.0002
