primary,secondary,aspect,target_angle,exact_time,julian_date,primary_longitude,secondary_longitude,relative_angle,orb_degrees
VENUS,SATURN,CONJUNCTION,0.0,2025-01-19 01:27:11,2460694.560546875,346.091415,346.090857,359.999443,-0.000557
VENUS,SATURN,CONJUNCTION,0.0,2025-04-07 11:03:45,2460772.9609375,355.256037,355.256633,0.000595,0.000595
VENUS,SATURN,CONJUNCTION,0.0,2025-04-25 00:00:00,2460790.5,357.224692,357.225094,0.000403,0.000403
VENUS,SATURN,OPPOSITION,180.0,2025-10-11 11:10:46,2460959.9658203125,176.996552,356.996397,179.999845,-0.000155
VENUS,SATURN,TRINE,120.0,2025-11-26 23:48:45,2461006.4921875,235.159555,355.158781,119.999226,-0.000774
VENUS,SATURN,SQUARE,90.0,2025-12-21 05:09:22,2461030.71484375,265.632063,355.631645,89.999582,-0.000418
VENUS,SATURN,SEXTILE,60.0,2026-01-15 06:19:41,2461055.763671875,297.149806,357.148929,59.999124,-0.000876
VENUS,SATURN,CONJUNCTION,0.0,2026-03-08 13:38:26,2461108.068359375,2.63685,2.637774,0.000924,0.000924
VENUS,SATURN,OPPOSITION,180.0,2026-08-21 12:42:11,2461274.029296875,194.196642,14.197265,180.000623,0.000623
VENUS,SATURN,TRINE,120.0,2027-01-15 21:39:22,2461421.40234375,249.081735,9.081732,119.999997,-3e-06
VENUS,SATURN,SQUARE,90.0,2027-02-13 11:40:18,2461449.986328125,281.425046,11.42495,89.999905,-9.5e-05
VENUS,SATURN,SEXTILE,60.0,2027-03-13 11:00:56,2461477.958984375,314.529076,14.52952,60.000443,0.000443
VENUS,SATURN,CONJUNCTION,0.0,2027-05-07 18:47:48,2461533.283203125,21.380786,21.380987,0.000201,0.000201
VENUS,SATURN,OPPOSITION,180.0,2027-10-04 12:29:31,2461683.0205078125,205.469589,25.469471,179.999882,-0.000118
VENUS,SATURN,TRINE,120.0,2027-11-19 02:51:33,2461728.619140625,262.092192,22.091905,119.999713,-0.000287
VENUS,SATURN,SQUARE,90.0,2027-12-12 14:12:11,2461752.091796875,291.142581,21.142424,89.999843,-0.000157
VENUS,SATURN,SEXTILE,60.0,2028-01-06 01:10:18,2461776.548828125,321.175528,21.175908,60.00038,0.00038
VENUS,SATURN,CONJUNCTION,0.0,2028-02-29 02:40:18,2461830.611328125,24.806208,24.806916,0.000708,0.000708
VENUS,SATURN,OPPOSITION,180.0,2028-11-25 18:28:07,2462101.26953125,215.85948,35.859816,180.000336,0.000336
VENUS,SATURN,TRINE,120.0,2029-01-11 15:59:03,2462148.166015625,274.450994,34.451989,120.000995,0.000995
VENUS,SATURN,SQUARE,90.0,2029-02-05 06:16:52,2462172.76171875,305.285363,35.286345,90.000982,0.000982
VENUS,SATURN,SEXTILE,60.0,2029-03-02 18:00:00,2462198.25,337.182352,37.182263,59.999911,-8.9e-05
VENUS,SATURN,CONJUNCTION,0.0,2029-04-24 22:30:00,2462251.4375,43.254989,43.255157,0.000168,0.000168
VENUS,SATURN,OPPOSITION,180.0,2029-10-02 02:54:22,2462411.62109375,234.434643,54.434644,180.0,0.0
VENUS,SATURN,TRINE,120.0,2029-12-02 05:54:22,2462472.74609375,290.055029,50.05494,119.999911,-8.9e-05
VENUS,SATURN,TRINE,120.0,2030-01-03 03:11:15,2462504.6328125,288.330541,48.330537,119.999995,-5e-06
VENUS,SATURN,TRINE,120.0,2030-02-21 05:15:00,2462553.71875,289.096632,49.096021,119.99939,-0.00061
VENUS,SATURN,SQUARE,90.0,2030-03-28 23:45:56,2462589.490234375,322.11207,52.11188,89.99981,-0.00019
VENUS,SATURN,SEXTILE,60.0,2030-04-28 11:43:07,2462619.98828125,355.679934,55.679894,59.999959,-4.1e-05
VENUS,SATURN,CONJUNCTION,0.0,2030-06-24 23:51:33,2462677.494140625,62.954247,62.954991,0.000744,0.000744
VENUS,SATURN,OPPOSITION,180.0,2030-11-20 12:22:30,2462826.015625,246.030101,66.029682,179.999581,-0.000419
